gene,samples_ge_min_count,retained
PNPLA4,30,True
MYH13,7,False
ADIPOR2,30,True
CDKL3,27,True
UPP2,0,False
PRSS21,12,False
MARK4,30,True
PROM1,13,False
CCDC124,30,True
CEACAM21,12,False
PAFAH1B1,30,True
NOS2,18,True
DNAH9,23,True
KIAA0100,30,True
SLC13A2,7,False
AC005747.1,30,True
TRAPPC6A,30,True
MATK,25,True
CEACAM7,23,True
CD79B,28,True
SCN4A,23,True
ST7L,30,True
TKTL1,2,False
PAX6,14,False
RPUSD1,30,True
RHBDF1,30,True
LUC7L,30,True
CACNA2D2,22,True
BAIAP3,29,True
TSR3,30,True
PIGQ,30,True
CRAMP1,30,True
TEAD3,30,True
SELE,30,True
DNAJC11,30,True
FMO3,26,True
MYLIP,30,True
NOX1,0,False
E2F2,29,True
PSMB1,30,True
SYN1,5,False
JARID2,30,True
CDKL5,30,True
CAMK1G,1,False
CDK11A,30,True
NADK,30,True
TFAP2B,10,False
TFAP2D,0,False
DLEC1,11,False
CYTH3,30,True
ADAM22,30,True
SYPL1,30,True
CYB561,30,True
SPAG9,30,True
CELSR3,29,True
AASS,30,True
PLEKHG6,30,True
SS18L2,30,True
MPND,30,True
MGST1,29,True
CRY1,30,True
PGLYRP1,1,False
NFIX,30,True
ST3GAL1,30,True
MMP25,27,True
IL32,30,True
PKD1,30,True
MAPK8IP2,29,True
MED24,30,True
RHOBTB2,30,True
HEATR5B,30,True
SEC62,30,True
RPS20,30,True
CSDE1,30,True
UBE3C,30,True
REV3L,30,True
TENM1,27,True
PAX7,17,True
MASP2,0,False
IYD,18,True
FAM76A,30,True
TRAF3IP3,30,True
POMT2,30,True
VTA1,30,True
MLXIPL,15,True
BAZ1B,30,True
RANBP9,30,True
ETV7,30,True
SPRTN,30,True
EEF1AKNMT,30,True
DYRK4,30,True
ZNF207,30,True
UQCRC1,30,True
STARD3NL,30,True
CD9,30,True
HHATL,20,True
NCAPD2,30,True
IFFO1,30,True
GIPR,23,True
PHF7,30,True
SEMA3G,30,True
NISCH,30,True
STAB1,30,True
FUZ,30,True
SLC6A13,1,False
IDS,30,True
PRSS3,24,True
ZNF200,30,True
CD4,30,True
LRRC23,30,True
BTK,30,True
HFE,30,True
SCMH1,30,True
FYN,30,True
HIVEP2,30,True
FMO1,29,True
ELOA,30,True
LYPLA2,30,True
CLCN6,30,True
AC080038.1,30,True
NME1-NME2,30,True
SLC6A7,1,False
TSPAN9,30,True
BTBD7,30,True
AC005954.1,30,True
MKS1,30,True
ABHD5,30,True
ANOS1,30,True
AKAP8L,30,True
MBTD1,30,True
UTP18,30,True
RNF216,30,True
TTC19,30,True
PTBP1,30,True
DPF1,18,True
SYT7,30,True
LARS2,30,True
PIK3C2A,30,True
PLAUR,30,True
ANLN,30,True
WIZ,30,True
RABGAP1,30,True
DCN,30,True
QPCTL,30,True
PPP5C,30,True
CEP68,30,True
MAP4K3,30,True
ZBTB32,6,False
TYROBP,30,True
TMEM159,30,True
GABRA3,24,True
BRCA1,30,True
ERCC1,30,True
CD22,21,True
SEMA3B,30,True
MBTPS2,30,True
PRICKLE3,30,True
LTF,23,True
EXTL3,30,True
NR1H4,2,False
ELOVL5,30,True
ALOX5,30,True
KDM5D,18,True
CALCOCO1,30,True
UBR7,30,True
MAP4K5,30,True
EHD3,30,True
PSMC4,30,True
MAN2B2,30,True
SLC7A14,4,False
CLDN11,28,True
SLC25A39,30,True
MVP,30,True
NUB1,30,True
PGM3,30,True
RWDD2A,30,True
CLK1,30,True
POLR3B,30,True
ANGEL1,30,True
RNF14,30,True
DNASE1L1,30,True
DDX11,30,True
HEBP1,30,True
GPRC5A,30,True
MAMLD1,30,True
CD6,29,True
TACC3,30,True
UFL1,30,True
POLA2,30,True
ZC3H3,30,True
CAPN1,30,True
ACPP,30,True
MDH1,30,True
SLC30A9,30,True
MTMR11,30,True
COX15,30,True
CCDC88C,30,True
YAF2,30,True
ZMYND11,30,True
WAS,30,True
DPEP1,3,False
BID,30,True
NPC1L1,11,False
XYLT2,30,True
RGPD5,30,True
STMN4,0,False
NUDCD3,30,True
ISL1,15,True
CHDH,24,True
IL20RA,30,True
CLCA1,0,False
CLCA4,30,True
GLT8D1,30,True
ATP2C1,30,True
IGF1,30,True
SLC38A5,30,True
RALBP1,30,True
RUFY3,30,True
CNTN1,30,True
SLC11A1,29,True
WWTR1,30,True
AGPS,30,True
ZNF806,0,False
CXorf56,30,True
ATP1A2,28,True
TTC27,30,True
ZNF582,27,True
VSIG2,19,True
PHLDB1,30,True
MARCO,23,True
CYP24A1,28,True
PRDM11,30,True
SYT13,13,False
SNAI2,30,True
CD74,30,True
HGF,30,True
ZRANB1,30,True
NCDN,30,True
ADGRA2,30,True
CCT8L1P,0,False
ZFP64,30,True
MNAT1,30,True
SAMD4A,30,True
RUNX3,30,True
MRE11,30,True
PLEKHB1,21,True
SERPINB1,30,True
CYP3A43,0,False
SLC7A9,0,False
SPAST,30,True
NRXN3,28,True
OSBPL5,30,True
AQR,30,True
CPS1,30,True
C8B,0,False
FHL1,30,True
RTF2,30,True
GABRA1,0,False
NLRP2,25,True
SLC45A4,30,True
RNF10,30,True
ZNF839,30,True
ZDHHC6,30,True
GRAMD1B,30,True
RNH1,30,True
NDUFS1,30,True
RB1CC1,30,True
ERP44,30,True
ALAS1,30,True
BIRC3,30,True
AKAP11,30,True
GLRX2,30,True
SNAPC1,30,True
DERA,30,True
STRAP,30,True
ABCC2,28,True
DEF6,30,True
PLEKHO1,30,True
GCLM,30,True
UBR2,30,True
EHD2,30,True
DEPDC1,29,True
CCDC28A,30,True
RRAGD,30,True
HSF2,30,True
PHF20,30,True
HSD17B6,22,True
NR1H3,30,True
TYMP,30,True
NCAPH2,30,True
TOMM34,30,True
SEC63,30,True
KPNA6,30,True
VIM,30,True
RTEL1-TNFRSF6B,30,True
FAS,30,True
RNASET2,30,True
CD44,30,True
KCNG1,23,True
AGPAT4,30,True
SLAMF7,30,True
BTN3A1,30,True
MIPEP,30,True
PRKCH,30,True
INSRR,0,False
IFNGR1,30,True
B4GALT7,30,True
SH2D2A,25,True
VRK2,30,True
TNFRSF1B,30,True
VEZT,30,True
POU2F2,29,True
BRD9,30,True
SNX1,30,True
TBPL1,30,True
ARNTL2,30,True
BCLAF1,30,True
SLC39A9,30,True
ANK1,28,True
IBSP,12,False
TFB1M,30,True
RABEP1,30,True
HMGB3,30,True
NUP160,30,True
BAK1,30,True
MUSK,17,True
IKZF2,30,True
GRN,30,True
FAM13B,30,True
ARHGAP31,30,True
CENPQ,30,True
SARS,30,True
RANBP3,30,True
ARID4A,30,True
EIPR1,30,True
PNPLA6,30,True
IFT88,30,True
ALG1,30,True
ZCCHC8,30,True
CHPF2,30,True
LRRC7,15,True
FUT8,30,True
UBA6,30,True
GAB2,30,True
ATP6V0A1,30,True
PIAS1,30,True
SLC4A7,30,True
APBA2,28,True
MAP2K3,30,True
EFCAB1,26,True
TMSB10,30,True
ASTE1,30,True
RNF19A,30,True
PEX3,30,True
GABARAPL2,30,True
MYOC,16,True
SH3YL1,30,True
FAM136A,30,True
VCL,30,True
DEPDC1B,29,True
DAPK2,30,True
NSMAF,30,True
ADSS,30,True
STAP1,12,False
TIMP2,30,True
RFC1,30,True
TBC1D23,30,True
CUL3,30,True
MYOM2,28,True
OTC,1,False
CYP46A1,18,True
AC118549.1,30,True
SLC18A1,0,False
USP2,30,True
CASR,1,False
TUBG2,30,True
RPL26L1,30,True
FLT4,30,True
NSUN2,30,True
FBXO42,30,True
MFAP3,30,True
MRI1,30,True
METTL1,30,True
HOXC8,12,False
AGA,30,True
PI4K2B,30,True
BOD1L1,30,True
MAT2B,30,True
TLL1,29,True
EDC4,30,True
TRIO,30,True
VCAN,30,True
CLEC16A,30,True
MSR1,30,True
CDH1,30,True
MTREX,30,True
DNAH5,24,True
ZFYVE16,30,True
RIPOR1,30,True
C6,8,False
RAI14,30,True
SOX30,2,False
PNKP,30,True
BEST2,6,False
PHLPP2,30,True
SPDL1,30,True
STAU2,30,True
PQLC2,30,True
CTNS,30,True
RTN4R,28,True
PHF23,30,True
CDH10,2,False
INPP4A,30,True
RAB27B,30,True
PSMA4,30,True
MYO16,17,True
LSG1,30,True
PARP3,30,True
TNC,30,True
THAP3,30,True
RIPOR3,29,True
TDP1,30,True
AIFM2,30,True
C2orf83,0,False
AL049834.1,30,True
MED17,30,True
RETSAT,30,True
CAPG,30,True
AP2S1,30,True
USH2A,5,False
ZPBP,0,False
TG,26,True
ADAM28,30,True
BARX2,30,True
DCUN1D1,30,True
JADE2,30,True
ZIC2,15,True
LCP2,30,True
TRIT1,30,True
ADRB1,18,True
GUCA2B,0,False
CUL7,30,True
CTNNA1,30,True
PHKA2,30,True
CNTLN,30,True
EPHA3,30,True
HSPA5,30,True
DSG2,30,True
GEMIN8,30,True
OFD1,30,True
GPM6B,30,True
MAGEC2,2,False
PREX2,30,True
WDR37,30,True
YTHDC2,30,True
CTPS2,30,True
ATP6V1H,30,True
POLR2B,30,True
FAM214A,30,True
ARAP2,30,True
TPR,30,True
CP,28,True
KIAA0556,30,True
DTNBP1,30,True
XK,29,True
ANO2,29,True
C12orf4,30,True
SCML1,30,True
WWC3,30,True
ARHGAP6,30,True
FAM184B,19,True
MAP4,30,True
GOPC,30,True
ROS1,10,False
USP28,30,True
HDAC9,30,True
TSPAN17,30,True
NOP16,30,True
CC2D2A,30,True
RRM2B,30,True
ZNF800,30,True
TNFRSF17,13,False
SNX29,30,True
LMO3,21,True
MRPS10,30,True
GUCA1A,2,False
RSF1,30,True
VPS13D,30,True
CELF2,30,True
FAM120A,30,True
R3HDM1,30,True
COL9A2,30,True
KITLG,30,True
ERCC8,30,True
ADAMTS6,29,True
H6PD,30,True
VAMP3,30,True
PER3,30,True
UTS2,3,False
TNFRSF9,28,True
EPN3,30,True
LTBP1,30,True
RCN1,30,True
ELN,30,True
RFC2,30,True
ARID1B,30,True
CLPTM1L,30,True
NEDD4L,30,True
FOXP3,23,True
PPP1R3F,30,True
HEXB,30,True
PTCD2,30,True
NEXMIF,25,True
JKAMP,30,True
DKK3,30,True
ARHGEF5,30,True
NFE2L3,30,True
MCUR1,30,True
LIMA1,30,True
LETMD1,30,True
SLC4A8,26,True
LAMC3,30,True
PTGER3,30,True
TNIP3,21,True
MAPK9,30,True
COL23A1,27,True
BCAR1,30,True
FAM160A2,30,True
HERPUD1,30,True
HOMER3,30,True
RAD51,29,True
POLQ,29,True
PIK3CB,30,True
CYBA,30,True
THOC3,30,True
HEBP2,30,True
MPHOSPH9,30,True
PLEKHA5,30,True
PRSS8,30,True
SIKE1,30,True
RRP12,30,True
FNIP2,30,True
MSMO1,30,True
TTC17,30,True
ALX4,15,True
FSTL4,29,True
FOXN3,30,True
METTL24,15,True
AKR7A2,30,True
MRTO4,30,True
NNAT,20,True
USE1,30,True
MCF2L2,29,True
NRIP2,8,False
LAMA3,30,True
AP5M1,30,True
ANAPC4,30,True
KCNQ1,29,True
TRAPPC3,30,True
THRAP3,30,True
PHPT1,30,True
ENTPD2,23,True
LY75,30,True
ARID4B,30,True
OPN3,30,True
SDCCAG8,30,True
PTPRN,12,False
HHAT,30,True
KIF1B,30,True
FOXC1,30,True
TBC1D22A,30,True
SYNE2,30,True
PLEKHH1,30,True
ATP9A,30,True
SPO11,0,False
CBLN4,3,False
CHRDL2,9,False
FAM168A,30,True
RELT,29,True
GALC,30,True
NOP58,30,True
SZRD1,30,True
KCNH2,8,False
CUL1,30,True
FAM114A2,30,True
CYFIP2,30,True
TAB2,30,True
GINM1,30,True
EIF2AK2,30,True
AC022966.1,30,True
KMT2C,30,True
MCOLN3,30,True
CCDC85A,23,True
PUM2,30,True
MRPL43,30,True
ITIH4,30,True
ITIH1,0,False
HPF1,30,True
ZFR,30,True
ZNF280C,30,True
NPFFR2,3,False
PHF21B,1,False
TRAF1,30,True
RC3H2,30,True
IL17RB,19,True
TRAF3IP2,30,True
GYG2,27,True
DCBLD2,30,True
SERPINB3,28,True
SOAT1,30,True
PKP2,30,True
MSH4,4,False
F7,2,False
GDI2,30,True
PRDM1,30,True
ATG5,30,True
TMCC3,30,True
PITHD1,30,True
MTA3,30,True
USP13,30,True
ATP11B,30,True
LAMC2,30,True
CDK14,30,True
SEC61A1,30,True
PPP1R12A,30,True
RASGRF1,15,True
CAMK2B,19,True
CROCC,30,True
POLR3E,30,True
ATP2B4,30,True
ZC3H11A,30,True
RIOK2,30,True
YIPF1,30,True
NDC1,30,True
DGKG,29,True
FLYWCH1,30,True
UNKL,30,True
TBXAS1,30,True
PARP12,30,True
ALDH18A1,30,True
TARBP1,30,True
GATB,30,True
MXD1,30,True
CDK17,30,True
DNAJC25,30,True
SLC2A3,30,True
PSD,26,True
CTDP1,30,True
YBX3,30,True
STYK1,30,True
WNK1,30,True
RPS17P5,0,False
CCAR1,30,True
OGFR,30,True
GNA15,30,True
CREB3L3,0,False
PIGV,30,True
PTPRU,30,True
SNRNP40,30,True
RIMBP2,29,True
COL11A1,26,True
QSER1,30,True
MPC1,30,True
ACAA1,30,True
BCAT1,30,True
HDAC7,30,True
LZTS1,29,True
PRDM6,29,True
WNT8A,0,False
SPAG4,24,True
NCKAP1,30,True
MRPS35,30,True
GUCY1B1,30,True
SFSWAP,30,True
TNK2,30,True
MON2,30,True
CDH3,30,True
ARSF,17,True
GPBP1,30,True
DGAT2,29,True
ZNF112,30,True
CS,30,True
LTK,19,True
MRPS24,30,True
ELMO2,30,True
WAPL,30,True
VMP1,30,True
APPBP2,30,True
POLD1,30,True
SEZ6,0,False
EIF4B,30,True
SLC6A16,12,False
BICRA,30,True
SPHK2,30,True
RPL18,30,True
CA11,30,True
ISOC2,30,True
U2AF2,30,True
EPN1,30,True
MED29,30,True
GSC2,0,False
ZNF275,30,True
MTMR1,30,True
GPC1,30,True
ADCK1,30,True
HAGH,30,True
RNF4,30,True
CASP8,30,True
LIMCH1,30,True
INTS13,30,True
TM7SF3,30,True
DLX3,28,True
SPA17,30,True
TSPAN32,15,True
CCN5,20,True
DMRT3,5,False
ST3GAL6,30,True
ATP2C2,30,True
NGFR,30,True
CDON,30,True
TAF2,30,True
HIPK2,30,True
TNPO3,30,True
BORCS8-MEF2B,28,True
RFXANK,30,True
TMEM161A,30,True
LPAR2,30,True
CTSA,30,True
SUGP2,30,True
SLC12A2,30,True
SNX24,30,True
EYA2,30,True
CNN2,30,True
ABCA7,30,True
SNCAIP,29,True
DDX20,30,True
BTBD1,30,True
FAR2,30,True
BCAS1,30,True
POU1F1,0,False
CHI3L2,30,True
SBNO2,30,True
PMS1,30,True
HMG20B,30,True
CALCRL,30,True
TAF11,30,True
ANKS1A,30,True
AP3D1,30,True
ZNF76,30,True
SLC9A3R2,30,True
NTHL1,30,True
UHRF1BP1,30,True
GNAI3,30,True
IPO5,30,True
OAT,30,True
WDR3,30,True
PKN2,30,True
WDR18,30,True
TRAM2,30,True
NTN1,30,True
GLP2R,1,False
MCM10,29,True
DGKA,30,True
ERBB3,30,True
ROPN1,5,False
ANKRD44,30,True
KARS,30,True
ADAT1,30,True
PDIA5,30,True
TBC1D22B,30,True
NDUFB4,30,True
SPEN,30,True
MYLK,30,True
ZC3H15,30,True
MAP2K4,30,True
TMEM206,30,True
SNAP91,5,False
SLK,30,True
CYB5R4,30,True
COL17A1,30,True
GSTO2,30,True
SEC61A2,30,True
PRKCQ,29,True
TLE2,30,True
ASB1,30,True
FAM107B,30,True
ME1,30,True
TBC1D1,30,True
CDK13,30,True
MTHFD2,30,True
SLC9A7,30,True
FOXJ2,30,True
YBX1,30,True
PDE4A,30,True
PPP2R5A,30,True
CTNNA2,6,False
ELAVL1,30,True
TIE1,30,True
DIP2B,30,True
SMARCD1,30,True
KDM4A,30,True
NFYC,30,True
ZMYND12,15,True
SLC9A3,30,True
NGEF,28,True
ASPM,29,True
CD84,30,True
ELOVL1,30,True
SPI1,30,True
ZNRD1,30,True
MPPED2,20,True
CLDN18,1,False
ZBTB11,30,True
ATXN3,30,True
GOLGA5,30,True
FGFR2,30,True
LRRC40,30,True
ISOC1,30,True
EML1,30,True
TRMT11,30,True
THUMPD1,30,True
MSANTD3,30,True
KIF26A,30,True
ATG2B,30,True
ARFGEF1,30,True
ACSM2B,0,False
ZFAT,30,True
MTFR1,30,True
STAG3,23,True
FECH,30,True
MYO9A,30,True
DDX3Y,18,True
PFKP,30,True
IDI1,30,True
SP100,30,True
KLF6,30,True
PLPP1,30,True
NEO1,30,True
TRAM1,30,True
PHKA1,30,True
TNFRSF1A,30,True
CACNB1,29,True
EVI5,30,True
STOML1,30,True
PKM,30,True
DHX29,30,True
DNTTIP2,30,True
METTL22,30,True
TP53BP1,30,True
TRO,29,True
RRP15,30,True
RHOA,30,True
DHX8,30,True
PMS2P4,30,True
PRKCZ,30,True
ZFY,18,True
IARS2,30,True
SYT1,24,True
NAV3,30,True
IDH3G,30,True
ROGDI,30,True
PDZD4,28,True
ATP2B3,0,False
ROCK1,30,True
CBFB,30,True
PDK3,30,True
HYAL2,30,True
HDAC4,30,True
RASSF1,30,True
FGFR3,30,True
IFI35,30,True
HEATR6,30,True
COASY,30,True
PLEKHH3,30,True
MEF2A,30,True
OTUD5,30,True
TFE3,30,True
TBC1D25,30,True
ACSL4,30,True
INPP5A,30,True
GPKOW,30,True
GRIPAP1,30,True
FTSJ1,30,True
PRR11,29,True
REEP1,30,True
ATP11A,30,True
POLR1A,30,True
LAPTM4A,30,True
TTC7A,30,True
IP6K2,30,True
STON1-GTF2A1L,15,True
SRBD1,30,True
KIF2A,30,True
RASGRP2,30,True
PSME4,30,True
IFT80,30,True
SIRT2,30,True
ERLEC1,30,True
PPP2R5B,30,True
PYGM,26,True
PAGE1,0,False
PITX1,30,True
TRPC7,0,False
MAST4,30,True
ADGRF5,30,True
SDK2,30,True
ADAM7,0,False
NUP133,30,True
NUCKS1,30,True
VPS35,30,True
DNAJA2,30,True
BCL3,30,True
KCNAB2,30,True
ABCC9,30,True
GAL,5,False
CLEC2D,30,True
FUNDC1,30,True
MAOB,27,True
RORA,30,True
DRD4,3,False
TGFBR3,30,True
PLA2G10,1,False
HES2,28,True
ATP1B3,30,True
NEDD4,30,True
PIGB,30,True
MAPK6,30,True
GNB5,30,True
RAB27A,30,True
HDHD5,30,True
UFD1,30,True
LRP6,30,True
GUCY2C,19,True
SCT,10,False
PHRF1,30,True
ELP1,30,True
NUCB2,30,True
PFN2,30,True
PTPN3,30,True
SPTB,30,True
DAPP1,30,True
FGF10,22,True
SLC44A1,30,True
TMEM260,30,True
SMG6,30,True
EXOC5,30,True
CLTCL1,30,True
FGF22,9,False
FSTL3,30,True
DGCR2,30,True
AC004156.1,30,True
MNT,30,True
ZXDC,30,True
JMJD6,30,True
POLB,30,True
ST6GALNAC1,30,True
WIPI1,30,True
FRMPD1,22,True
GBA2,30,True
NDST1,30,True
ASNS,30,True
AP3M2,30,True
CNGB1,18,True
ST6GALNAC2,30,True
CHAT,0,False
PABPC1,30,True
TESK2,30,True
CFAP20,30,True
CSNK2A2,30,True
AL162171.1,30,True
EIF2B3,30,True
CAMK2A,28,True
TCOF1,30,True
CDC42,30,True
OSBPL3,30,True
EPHA8,0,False
SLC12A3,8,False
RAD18,30,True
ATP2B1,30,True
TRPM5,2,False
NCK2,30,True
MAP4K4,30,True
MGAT4A,30,True
RPL31,30,True
WDR1,30,True
SNX13,30,True
MS4A12,1,False
ARHGAP10,30,True
RPS6KA2,30,True
ING3,30,True
VASH1,30,True
LMCD1,30,True
BUD23,30,True
SEL1L,30,True
TRIP13,30,True
ATP6AP1,30,True
TCF3,30,True
TRIB2,30,True
DAZAP1,30,True
MBD3,30,True
PRLH,0,False
HLTF,30,True
FAM50A,30,True
FAM3A,30,True
CPSF1,30,True
MYO3B,24,True
CYBRD1,30,True
CDH19,24,True
PDCD2,30,True
SLC6A15,28,True
RDH11,30,True
PRKACA,30,True
ADGRL1,30,True
SPP2,0,False
ACTN1,30,True
ZFYVE26,30,True
RPS6KA6,23,True
EPN2,30,True
PTPN18,30,True
LIMS2,30,True
ASIC4,0,False
SPEG,30,True
LNX1,30,True
ALDH3A2,30,True
TFRC,30,True
SREBF1,30,True
TRPC5,0,False
AFF4,30,True
UBE2D1,30,True
MPP5,30,True
RHOBTB1,30,True
SMC1A,30,True
HSD17B10,30,True
MARK2,30,True
HMMR,30,True
CHFR,30,True
TRHDE,23,True
P4HA2,30,True
FCGR2B,30,True
NFATC3,30,True
TRNT1,30,True
ACADVL,30,True
STK10,30,True
FBXW11,30,True
ACAP1,30,True
CRMP1,27,True
EVC,30,True
DERL2,30,True
SIDT1,28,True
NDE1,30,True
MRVI1,30,True
TMEM38A,30,True
AP1M1,30,True
PVR,30,True
XRCC1,30,True
SCARB1,30,True
CYP2W1,11,False
MCM2,30,True
MOV10L1,16,True
PANX2,29,True
SELENOO,30,True
TP63,30,True
ALPK1,30,True
LLGL2,30,True
PDE8A,30,True
CLCN4,30,True
NLE1,30,True
SDHA,30,True
SMARCE1,30,True
FNDC8,0,False
GSDMB,30,True
KDM5A,30,True
ADAM11,15,True
PPP2R3A,30,True
FERMT2,30,True
ABCB11,16,True
DHRS9,29,True
CD5L,0,False
PTGS2,30,True
IGF2BP2,30,True
MAP3K13,30,True
ST6GAL1,30,True
TBX21,17,True
VDAC1P1,0,False
FRY,30,True
PICALM,30,True
NSF,30,True
GLI2,29,True
CLASP1,30,True
MRPS34,30,True
NOTCH3,30,True
CLNS1A,30,True
PPP2R2C,30,True
TEAD2,30,True
EED,30,True
CDHR2,1,False
SNCB,4,False
TSG101,30,True
NCBP3,30,True
ATP2A3,30,True
CA12,30,True
MGLL,30,True
NTN4,30,True
BCS1L,30,True
NUAK1,30,True
DPP8,30,True
SLC24A1,30,True
ZNF532,30,True
SCARF1,30,True
LMAN1,30,True
HACD3,30,True
IPCEF1,30,True
ZZEF1,30,True
NOX3,0,False
ENO1,30,True
SLC12A1,2,False
MYDGF,30,True
ANO8,30,True
TUBE1,30,True
ARHGEF10L,30,True
TXK,26,True
WSCD2,17,True
KCNQ2,0,False
TACR2,5,False
ACTR6,30,True
TIPIN,30,True
SRI,30,True
EIF4G3,30,True
NUP37,30,True
SEMA3A,29,True
GTSE1,29,True
SEMA3C,30,True
TTC38,30,True
ACAT1,30,True
GRAMD4,30,True
CELSR1,30,True
WNT8B,0,False
ZNF638,30,True
SLC25A40,30,True
TIMM21,30,True
ADD2,25,True
FGF4,1,False
RASAL2,30,True
VPS9D1,30,True
ZNF37A,30,True
MARK3,30,True
SLC25A3,30,True
FNDC3B,30,True
FOSL2,30,True
CACNG5,0,False
CACNG4,19,True
FRYL,30,True
TMEM131,30,True
FSCN1,30,True
ACTB,30,True
MOCOS,30,True
PLD1,30,True
ATP12A,27,True
WDR62,30,True
DLG1,30,True
RAB7A,30,True
BCAP29,30,True
SEC31B,30,True
SART3,30,True
ARHGAP15,30,True
TUBA3D,0,False
PAX2,0,False
EXOSC7,30,True
KIFAP3,30,True
MKRN2,30,True
MCM6,30,True
REXO2,30,True
RBM7,30,True
RBMS2,30,True
BAZ2A,30,True
PTPN23,30,True
MLH1,30,True
UNG,30,True
FMO4,29,True
KLHL20,30,True
RGS11,23,True
SLC46A1,30,True
PLXNA2,30,True
SPAG5,30,True
ANKRD13A,30,True
TPD52,30,True
ACACB,30,True
TRAF4,30,True
PAG1,30,True
GPATCH1,30,True
ICAM3,30,True
NT5C2,30,True
AP002956.1,30,True
GPC4,30,True
MBNL3,30,True
CAMSAP3,30,True
RAP1GAP,30,True
XAB2,30,True
ARHGEF1,30,True
STXBP2,30,True
MAP2K7,30,True
NMRK2,17,True
DGKD,30,True
CTTNBP2,29,True
ACTL6B,0,False
RARB,30,True
TOP2B,30,True
TM9SF3,30,True
NFKB2,30,True
UBE2T,29,True
PPP1R12B,30,True
DNAJC10,30,True
GTF3C1,30,True
IL4R,30,True
USP33,30,True
PAK3,30,True
CAPN6,20,True
DCX,7,False
SNRPA,30,True
SPAG6,0,False
EXOSC5,30,True
DYNC1I2,30,True
APBB1IP,30,True
LRCH4,30,True
FAM76B,30,True
AC016586.1,30,True
TYR,9,False
POLD3,30,True
ACTN2,22,True
CAPZB,30,True
GPR137B,30,True
NAALAD2,18,True
JADE1,30,True
SLC25A43,30,True
UBE2A,30,True
FGFR1,30,True
FKBP6,1,False
SMC1B,4,False
FBLN1,30,True
ITGA8,30,True
CST7,30,True
MAP2,30,True
PIAS2,30,True
AMPH,24,True
ARAF,30,True
MCCC1,30,True
LAMP3,30,True
FAP,30,True
NEBL,30,True
ACER3,30,True
UBE2K,30,True
PIK3C3,30,True
